"id","branch_name","branch_id","branch_code","email","mobile_number","gstin","agreement_limit","secondary_mobile_number","secondary_email","state","district","city","address_1","address_2","pin_code","latitude","longitude","range","created_by","created_at","updated_by","updated_at","deleted_at","deleted_by"
"1","Main Branch","BR001121","MNB001121","main@example112.com","1234567890","22AAAAA0000A1Z5",NULL,"+919876543210","backup@example.com","Maharashtra","Mumbai","Mumbai","123, Main Street","Near Central Park","400001","18.5204","73.8567","1000",1,"2025-08-29 12:57:27.471258+05:30",NULL,NULL,NULL,0
"2","Head Office","NGP1","NAG001","nagpur@berarfinance.com","9876543210","27ABCDE1234F1Z5","5000000","9123456789","nagpur.secondary@berar.com","Maharashtra","Nagpur","Nagpur","Main Road","Near Square Mall","440001","21.1458","79.0882","60",1,"2025-09-09 19:17:27.658595+05:30",NULL,NULL,NULL,NULL
"4","Akola","1","BR001","branch@berar.com","9000000001","GSTIN001","1000000",NULL,NULL,"Maharashtra","Akola","Akola","","","000000",NULL,NULL,NULL,1,"2025-09-09 19:27:16.038957+05:30",NULL,NULL,NULL,NULL
"5","Amravati","2","BR002","branch@berar.com","9000000002","GSTIN002","1000000",NULL,NULL,"Maharashtra","Amravati","Amravati","","","000000",NULL,NULL,NULL,1,"2025-09-09 19:27:16.038957+05:30",NULL,NULL,NULL,NULL
"6","Aurangabad","3","BR003","branch@berar.com","9000000003","GSTIN003","1000000",NULL,NULL,"Maharashtra","Aurangabad","Aurangabad","","","000000",NULL,NULL,NULL,1,"2025-09-09 19:27:16.038957+05:30",NULL,NULL,NULL,NULL
"7","Bemetara","4","BR004","branch@berar.com","9000000004","GSTIN004","1000000",NULL,NULL,"Maharashtra","Bemetara","Bemetara","","","000000",NULL,NULL,NULL,1,"2025-09-09 19:27:16.038957+05:30",NULL,NULL,NULL,NULL
"8","Betul","5","BR005","branch@berar.com","9000000005","GSTIN005","1000000",NULL,NULL,"Maharashtra","Betul","Betul","","","000000",NULL,NULL,NULL,1,"2025-09-09 19:27:16.038957+05:30",NULL,NULL,NULL,NULL
"9","Bilaspur","6","BR006","branch@berar.com","9000000006","GSTIN006","1000000",NULL,NULL,"Maharashtra","Bilaspur","Bilaspur","","","000000",NULL,NULL,NULL,1,"2025-09-09 19:27:16.038957+05:30",NULL,NULL,NULL,NULL
"10","Buldhana","7","BR007","branch@berar.com","9000000007","GSTIN007","1000000",NULL,NULL,"Maharashtra","Buldhana","Buldhana","","","000000",NULL,NULL,NULL,1,"2025-09-09 19:27:16.038957+05:30",NULL,NULL,NULL,NULL
"11","Chalisgaon","8","BR008","branch@berar.com","9000000008","GSTIN008","1000000",NULL,NULL,"Maharashtra","Chalisgaon","Chalisgaon","","","000000",NULL,NULL,NULL,1,"2025-09-09 19:27:16.038957+05:30",NULL,NULL,NULL,NULL
"12","Chhindwara","9","BR009","branch@berar.com","9000000009","GSTIN009","1000000",NULL,NULL,"Maharashtra","Chhindwara","Chhindwara","","","000000",NULL,NULL,NULL,1,"2025-09-09 19:27:16.038957+05:30",NULL,NULL,NULL,NULL
"13","Dhamtari","10","BR010","branch@berar.com","9000000010","GSTIN010","1000000",NULL,NULL,"Maharashtra","Dhamtari","Dhamtari","","","000000",NULL,NULL,NULL,1,"2025-09-09 19:27:16.038957+05:30",NULL,NULL,NULL,NULL
