id,branch_name,branch_id,branch_code,email,mobile_number,gstin,agreement_limit,secondary_mobile_number,secondary_email,state,district,city,address_1,address_2,pin_code,latitude,longitude,range,created_by,created_at,updated_by,updated_at,deleted_at,deleted_by,error_reason,row_number
1,Main Branch,BR001121,MNB001121,main@example112.com,1234567890,22AAAAA0000A1Z5,,919876543210.0,backup@example.com,Maharashtra,Mumbai,Mumbai,"123, Main Street",Near Central Park,400001.0,18.5204,73.8567,1000.0,1,2025-08-29 12:57:27.471258+05:30,,,,0.0,Emp Code Missing | Branch '' not found,2
2,Head Office,NGP1,NAG001,nagpur@berarfinance.com,9876543210,27ABCDE1234F1Z5,5000000.0,9123456789.0,nagpur.secondary@berar.com,Maharashtra,Nagpur,Nagpur,Main Road,Near Square Mall,440001.0,21.1458,79.0882,60.0,1,2025-09-09 19:17:27.658595+05:30,,,,,Emp Code Missing | Branch '' not found,3
4,Akola,1,BR001,branch@berar.com,9000000001,GSTIN001,1000000.0,,,Maharashtra,Akola,Akola,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,4
5,Amravati,2,BR002,branch@berar.com,9000000002,GSTIN002,1000000.0,,,Maharashtra,Amravati,Amravati,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,5
6,Aurangabad,3,BR003,branch@berar.com,9000000003,GSTIN003,1000000.0,,,Maharashtra,Aurangabad,Aurangabad,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,6
7,Bemetara,4,BR004,branch@berar.com,9000000004,GSTIN004,1000000.0,,,Maharashtra,Bemetara,Bemetara,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,7
8,Betul,5,BR005,branch@berar.com,9000000005,GSTIN005,1000000.0,,,Maharashtra,Betul,Betul,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,8
9,Bilaspur,6,BR006,branch@berar.com,9000000006,GSTIN006,1000000.0,,,Maharashtra,Bilaspur,Bilaspur,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,9
10,Buldhana,7,BR007,branch@berar.com,9000000007,GSTIN007,1000000.0,,,Maharashtra,Buldhana,Buldhana,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,10
11,Chalisgaon,8,BR008,branch@berar.com,9000000008,GSTIN008,1000000.0,,,Maharashtra,Chalisgaon,Chalisgaon,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,11
12,Chhindwara,9,BR009,branch@berar.com,9000000009,GSTIN009,1000000.0,,,Maharashtra,Chhindwara,Chhindwara,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,12
13,Dhamtari,10,BR010,branch@berar.com,9000000010,GSTIN010,1000000.0,,,Maharashtra,Dhamtari,Dhamtari,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,13
14,Dhule,11,BR011,branch@berar.com,9000000011,GSTIN011,1000000.0,,,Maharashtra,Dhule,Dhule,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,14
15,Durg,12,BR012,branch@berar.com,9000000012,GSTIN012,1000000.0,,,Maharashtra,Durg,Durg,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,15
16,Jalgaon,13,BR013,branch@berar.com,9000000013,GSTIN013,1000000.0,,,Maharashtra,Jalgaon,Jalgaon,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,16
17,Janjgir,14,BR014,branch@berar.com,9000000014,GSTIN014,1000000.0,,,Maharashtra,Janjgir,Janjgir,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,17
18,Khamgaon,15,BR015,branch@berar.com,9000000015,GSTIN015,1000000.0,,,Maharashtra,Khamgaon,Khamgaon,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,18
19,Latur,16,BR016,branch@berar.com,9000000016,GSTIN016,1000000.0,,,Maharashtra,Latur,Latur,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,19
20,Mahasamund,17,BR017,branch@berar.com,9000000017,GSTIN017,1000000.0,,,Maharashtra,Mahasamund,Mahasamund,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,20
21,Manmad,18,BR018,branch@berar.com,9000000018,GSTIN018,1000000.0,,,Maharashtra,Manmad,Manmad,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,21
22,Nanded,19,BR019,branch@berar.com,9000000019,GSTIN019,1000000.0,,,Maharashtra,Nanded,Nanded,,,0.0,,,,1,2025-09-09 19:27:16.038957+05:30,,,,,Emp Code Missing | Branch '' not found,22
